sentiment,review_body,product_category
0,"The fabric is wonderful  flows nicely and soft. i am 5'7""  145lbs and usually wear between a s and m. i ordered a s in this due to the majority of reviews and found it to fit my shoulders well and length was fine. after reading the reviews i was so excited to get it but for me it actually made me look larger. there was too much material for me on the bottom and it actually made me look like i had a ""pooch""  never a good thing. i thought of returning for a m as i thought maybe it would have hung",Blouses
0,Just a warning. i am always a 6 or 8 and even the 8 was so tight in the waist i could barely out this on. if you don't have a super tiny upper waist  this won't fit well. too bad  because it's super cute  if a bit sheer.,Blouses
0,"This shirt is enormous and  as the title of my review suggests  it looks like a men's button down. the fabric is quite sheer  but that's actually what i liked best about it. i just looked completely shapeless in this top & wish i had realized it before i wore it out because i would definitely have returned it. perhaps if i had bought it 2 sizes smaller i might have liked it better - it didn't fit anything like the model photos suggest - it's huge. not ""easy/slouchy"".",Blouses
1,Cute  simple top that completes an outfit all on it's own. it is pricey but i finally took the plunge and bought it.,Blouses
1,Size down  runs a bit large  sleeves are cute and overall a pretty piece,Blouses
1,"I've been coveting the first edition of this top (pineapples) and was thrilled to find this same style with lemons. i called my local store and put a few sizes on hold so i could ensure the perfect fit. good job i did! the top is beautiful but it's super tight across the back - fine if you want to stand still & look pretty. if  however  you want to go about your usual activities  like eat for example  i'd suggest you size up. for reference i'm usually a 2-4 in retailer tops (34b  5' 5"" and 130lbs)",Blouses
1,Perfect lace tank. i am six feet tall and this top hits me about where it does on the model. i ordered xl and feel it is a generous tts . it is very figure flattering and not too tight across the bust. it has a thin lining so no camisole is needed. so beautiful!,Blouses
1,Very feminine! comes with a coordinating cami. i liked it so much that i'm going to order the other color  too!,Blouses
1,Saw this online  but it said the store was out of stock. imagine my surprise when i went to my local store and found it in both a small and a medium in white.. i tried them both on  but not a lot of difference in the sizing. the small had a smaller head/neck opening causing it to be a bit tough to remove without getting makeup on it  which the small did. the medium fit very very close to the small  but a smidge bigger at the neck. the shoulders of both seemed to fit the same  with maybe a tad mo,Blouses
1,Had a feeling when i saw this that it would be a great top. love the way the elasticized neck hugs tightly and has two little back buttons. the beading is elegant and subtle. the body flows nicely  not overly billowy. definitely true to size. interesting ocher color; a yellowy-green. this is one to own.,Blouses
1,I wore this unbuttoned with a moss green tla tank top  faded  ripped  rolled up stevies with gladiator sandals and turquoise jewelry and it looked great. this is an amazing piece for your summer wardrobe that can be worn so many ways.,Blouses
1,...but it does have it's problems. the neck  although it has pretty button detail at the back  is very outsized on me. i would like to see it fit a bit more snugly as by not laying flat  necklaces bunch up and are hard to wear with it. it is just sort of 'floppy' if i'm making sense. the camisole liner is nicely made and attaches with snaps at the shoulders which gives this a definite plus. the fabric is sort of like chiffon with appliquã©d flowers. the color combination is beautiful and with the,Blouses
-1,I ordered the blue version of this dress thinking the accent stripes were black. they were not ! they were wine colored. i liked the color  but not in combination with the other colors in the dress. black would have been a better look. i had to take it back. sad...,Dresses
-1,This dress is really nice and lightweight. the slip is snug so the outer part floats nicely. but..it adds a bit too much volume if you have a lot of curves. it disguises in a way but also is a bit less flattering. i really wanted to like it because it's so breezy but a tad matronly on me.,Dresses
-1,I bought this dress because it was cute  swinging and lightweight -- seemingly perfect for this hot nyc summer. after on wash and dry  the dress is already ripped around two buttons. i'll still wear it but i don't think it'll last until next summer. kind of pitiful since it wasn't a cheap-o dress. also it is big but that seemed to be sort of the point.,Dresses
-1,The fun colors drew me to this but it sure fit weird. the top was fine but it became a bit tent-like in the waist. the material doesn't feel great either.,Dresses
-1,"I was really excited about this dress. i had only seen it online and it looked like the perfect transitional piece  casual or dress up. when it arrived in the mail  the feel of the fabric was great and i slipped it on and it was so comfy i felt like i was wearing a nightdress. unfortunately it hung like that  too. the material sags in places it shouldn't. i have a 5'8"" 125 lb frame  and i ordered an extra small  and both my husband and sister said it was unflattering and urged me to send it back",Dresses
-1,I wanted a comfortable and loose casual dress. i liked the pictures and decided to give it a try.  the dress turned out to be too loose (i got size 4 after checking the measurements chart  i'm 5'7' 125 lb and usually wear s). i could practically wrap myself in this dress. besides  it looks a bit too long (well  i'm not as tall as the model in the photos and i don't like wearing high heels).  the material looks faded  not as bright as in the pictures. i like distressed and vintage style  but this,Dresses
-1,"Like other reviewers  i saw this dress on the cover of the catalog and knew i had to have it! well  i am very disappointed. the colors aren't as rich as the outdoor photo  although they're brighter than shown in the studio photos. this is just not a flattering dress. i've put it on three times and taken it back off. the neck is too high  the sleeves are too narrow (and i have really skinny arms)  and there's no ""swing"" to it. i am 5'4"" and weigh 120 pounds and bought a size small  which is what",Dresses
-1,"I was so excited to receive this dress. i got a petite 4 as i am 5'2"". it was very hard to zip up the side zipper but not impossible. it didn't look good on me. the waist line was a bit too high...maybe a regular would have looked better. also i thought it was a cotton dress but it isn't. also i looked like i was going to a nordic folk festival to do a traditional dance. i had been so excited to receive this but sadly it just didn't work for me and i had to send it back.",Dresses
-1,I drooled over this dress online  so couldn't pass up trying it on at my local retailer store. while i loved the unique color in person  & the drape of the skirt (good quality  fully lines)  i was so disappointed with the top of this dress! it's very tight  ill-fitting  & just plain...weird. i can't imagine the fit of the top being flattering on anyone  regardless of chest size. it's a shame  because otherwise  the dress is adorable!,Dresses
0,I'm usually an xs for most retailer dresses and shirts. i ordered up per other reviews and got a small. the small fits comfortably around my waist. the chest area is not made for large chests. my 34ds were barely contained. sad to say  i won't be keeping the dress. the layers  fabric  and colors are truly pretty but the design/fit is disappointing.,Dresses
0,I love this dress now that it is on sale; sized down to sm petite  added a simple full slip. endless compliments and inquiries on where to buy it!,Dresses
0,Although this is a very lovely dress in the pictures  and it has a lovely quality in person  the shape and orientation of the dress is very awkward. the attached slip makes it tricky to put on  and the sizing between the top and the hips seems inconsistent (tight in the hips  large in the top). not quite for my body type - maybe better for someone with slim hips and a bigger bust.,Dresses
0,So  i bought 2 of these. first in xsp. it was actually the regular length not the petite one. it did have the problem mentioned by others regarding the arms  armpit  thighness issue. i thought maybe the dress was mislabeled and i got a regular xs by mistake. so i returned and order another xsp hoping i would get one with the right length  but no. the one i got has same issues as the first one. why 2 petite dresses with regular length/? i think the dresses are defective. the print is gorgeous and,Dresses
0,Nice cut but 6 inches too long and no petite sizes available.,Dresses
0,I wanted to love this dress  especially because it's been given good reviews. i ordered the blue and tried it on. the fit was pretty good and the color is pretty and deep. i did not like the seam that ran around the drop waist. it created a weird allusion that the two pockets in front was actually a continuous pouch around the dress. i also did not like the neckline - there is fabric added on the shoulders that's in a different fabric and makes it look like you're wearing a t-shirt underneath th,Dresses
0,"The dress immediately caught my eye in the store. upon trying it on  i discovered that the slip runs extremely small (and unnecessarily so considering the looseness of the shift). the skirt is a tad long--i'm 5'6"" and it hits mid-knee. it's a shame the slip was so tight--i loved the dress otherwise.",Dresses
0,I wanted to love this dress... and i did until i turned around. the back seam didn't hang right. it pulled towards the knotted side  across my behind. i tried on two different xs that they has in store and both had the same issue. one of the dresses hung much looser  i had to recheck the tag because i didn't believe it was the same size! disappointing because it really is pretty and showcases curves nicely.,Dresses
0,I have to agree with people who are saying this dress runs small in the hips. even a size 0 is typically roomy on me when it comes to dresses at retailer  but a size 4 in this would have been best on my hips. the size 2 was just a smidge too tight looking and loose on the upper half of my body  which made my waist look thicker than it is  i thought. my boyfriend disagreed and thought it looked nice  but i still didn't buy because my life would not give me many opportunities to wear this thing anyw,Dresses
1,"This dress did end up working out for me. however i am very narrow in my chest and shoulders and i can see how it would be too tight on anyone with a med-lrg chest and/or broad shoulders. the fabric is light weight  nice for summer. it will need to be ironed and will wrinkle easily but it still looks well made to me. the slip is smaller than the dress but i feel that the dress is supposed to be ""drapey"". i kept it.",Dresses
1,I've gotten many compliments with this delightful dress. colors ar light and just right for a summer day. so comfortable and has a nice inner lining. very light and comfortable.,Dresses
1,"I love this dress. colors are great  but a little tight in the chest and arms. i am 5' 8"" and usually wear a size 6. i bought the medium because i like a little looser fit on top. the arm holes are a little large which makes reaching up for things awkward.",Dresses
1,"At 5'4"" i typically order petite clothing...i was unsure of this dress/tunic-shirt from the photos online  the reviews and the hi/low hem. i ordered xs and pxs (about 118#). both fit as far as shoulders and through the body but the pxs was way too short on me to wear as a dress without any leggings. the length of the regular xs works great and i feel is appropriate for someone my age! it is buttery soft and so comfortable. i ordered the suede wrap belt to go with it. also  the sleeves are too ti",Dresses
1,"This dress is fabulous with attention to most details. 5'4"" 103 lbs the 00 fits perfectly. overall fit is excellent  sleek  but not form fitting so very appropriate for work. length is also great  another plus.for work  many times the dresses are just a tad short  but this is great. arm holes are also great  not overly long as they often are. very nicely lined  substantial fabric. the only lack of attention to detail is they did not include the bra strap holders. why can't more dresses be made t",Dresses
1,This dress is comfortable and cute. i wear xs and this is true to size. the only thing i don't like is the neckline. it is very low cut. will have to wear a cami underneath.,Dresses
1,"I purchased a large and it fit perfect. i'm a size 12- 36dd. the material is very forgiving and flows over my curves. thick enough that it doesn't need a slip and will stretch to fit size 14 ladies  maybe size 16 too. i'm 5'7"" and the length is great on me with flat sandals. doesn't show my bra either.",Dresses
1,I love everything about this dress. the coloring  fabric and flow of it. it's so much better in person than on-line. it's true to size and very comfortable. a great price as well.,Dresses
1,I tried this on in the store. all of the dresses in the store were misshapen and pulled long in the armholes (and i love all of my local retailer stores!) i don't think these should be hung on a hanger. the knit is too heavy for hanging. the hem on the dress i tried in the store was dirty from dragging on the floor. i went home and ordered it online with the 20% dress discount and free shipping. the dress i received was clean  unstretched in the armholes and not oddly short like some review,Dresses
-1,This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also  the color was not as vibrant as shown in the picture. this sweater will be going back.,Fine gauge
-1,I was minimally torn over whether to return this but ultimately it's going back because the knit is just too thin. i thought it would be cozy and be of normal sweater weight but it's not. and because it's so light  the swing effect doesn't really come off. nothing special.,Fine gauge
-1,Huge bummer. this top is definitely a crop/midi-top. plus  it's cream  not white like shown in the photos. i'm returning it today.,Fine gauge
-1,Really wanted to luv this top buttt it ran small in arm length & in the front  bottom...backside was perfect coverage...also most important this top is see-through! item as pictured is not accurate!,Fine gauge
-1,A beautiful shawl but not practical. i was impressed with how elegant/romantic it first felt/looked.  however  after 5 minutes of wear  it would not stay on my shoulders. the design is very awkward and despite several attempts with different tops/tanks underneath  i kept running into the same problem. lovely for the first 5 minutes of wear and then awkwardly/annoyingly wouldn't stay on my shoulders. the neckline is undefined and it just fell off. not a great design. disappointedly returned it.,Fine gauge
-1,I tried on this sweater...love the flowing top  and it looked like the seam would hit right under my bustline.  wrong.  the seam came right across my bust on a medium; sized up to a large  same thing. this shouldn't happen! not sure who this would actually flatter.  the sweater is high quality  and the colors are perfect. the fit needs work.,Fine gauge
-1,I also expected this sweater to have more bulk to it per the images. it is very thin as others have said. the design is awkward with the sleeve placement and that makes it more flowy vs. structured. it is more similar to a cape or shawl design. if you;'re looking for a warm cozy blanket sweater design  this is not it. i will keep it though as a layering piece and because of the sale price and classic color design.,Fine gauge
-1,The shirt does have a weird yellow tinge as other reviewers have described. i could get over that if the shirt was a flattering fit which it was not. not worth the money so i returned it.,Fine gauge
-1,It's beautiful  lovely quality  gorgeous bird. but the fit just doesn't work for me. i'm usually a medium  which is what i got  it's just too tight in the chest. for ref 36d. as is it already flares out some in the bottom so i'm not gonna bother w a larger size unfortunately,Fine gauge
0,I love the colors in this top  but sadly i'm going to have to return it. the first thing my husband did when he saw this on me was just stare  and not in a good way. then he said it looked like a maternity top. i was so disappointed  and sadly will be returning this. for reference  i am 135 pounds. 5-ft. 4-in tall and do not want to look pregnant in a top. i normally wear size medium tops  but this one is huge. now i know why the model in the picture had her arms nestled in at her sides. this to,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,Overall nice material and styling but be prepare for it to be huge. i purposely sized down and i still felt like i was swimming in this.,Fine gauge
0,"Purchased because i wanted a deep red sweater  and this one was the perfect color. unfortunately i am on the curvier side  with 34g chest  155lbs 5' 5""  and the med was too big  (i usually wear m or l at retailer.) also the fit ended up being boxy on my body type.",Fine gauge
0,This sweater is great i bought the black version on sale. my complaint is the pulling factor though. you don't expect retailer sweaters to pill after a couple wears. overall i love the fit and look though so i continue to overlook it and use my sweater comb as needed!,Fine gauge
0,This a heavy cotton which is great for fall. design is cute and pockets are interesting. the fit is boxy and can look bulky. i only recommend if it's on sale.,Fine gauge
0,Was excited about this sweater but it really didn't wow me when i put it on. the v-neck is quite low and the sweater is a bit short. loved the ideas of the fringe but in the end  it went back.,Fine gauge
0,This is a thick sweater. it is pretty  but has a short length.,Fine gauge
0,I love the looks of this sweater on the model! after receiving it  it was still very pretty and stylish to look at. my problem is that i am petite  and the sweater seemed to run very large. it wasn't very fitted. i think the detailing in the back would look better fitted. it made me look rather dowdy and/or matronly unlike how it looks on the model. i think that was because it was just too big. i returned it.,Fine gauge
1,This cardigan is oh  so pretty! it does have a cropped length; it fall exactly at my waist.,Fine gauge
1,"I got this in the red. it is a muted color that is very pretty. i am 5'5""  and it is neither too long nor too short. it is a nice  light weight. the quality is good and on par with other purchases from this brand.",Fine gauge
1,This sweater has every special element i could want .... form fitting  feminine  and attention to detail. i ordered it in turquoise  which is a lovely muted turquoise that works well when dressed up or down with a cream cami. because i am petite  the fitted waist detail in back hits me just in the right spot. thank you  retailer  for another timeless addition to my collection of yours.,Fine gauge
1,I wear this top all the time! perfect with jeans and can't wait to wear with a skirt in the summer.  i am 5'2 and have the xs which hits in a great length  just as pictured. i bought at full price  so for the sale price you are getting a great deal!,Fine gauge
1,Found this cute little black sweater on the sale rack in a small and it fit perfect. it is flattering and will look great over a tank top or strappy dress. the little details of chiffon around the collar and the tiny cutout holes around the back  the softness  and the little detail on the back bottom make this a perfect go to sweater for me. i only say it runs small because it is a cropped style so expect it to be short  but i would agree that the arms are more to the snug side than the loose fi,Fine gauge
1,"I ordered this in black and loved it so much  i ordered the 'red' color too. it hasn't arrived yet  but i'm hoping its tan like it appears to be online. it fits tts (5'3"" and 110lbs) - the xs fit perfectly and wasn't too long.",Fine gauge
1,I purchased this sweater in red  it's a deep  rich color and although i usually opt for black  you can see the beautiful details on this sweater much better in the red. i love this item!,Fine gauge
1,Very pretty & shimmery. suitable for slightly dressier occasions. comfortable fit.,Fine gauge
1,"I love this top! the colors are beautiful & look incredible with jeans as well as so many of the different color pilcro pants in my closet. it's the perfect between-season item.  since i don't like garments that have a ""boxy"" fit  i was concerned that this top wouldn't work for me after reading some of the other reviews. but it looks great & feels comfy.",Fine gauge
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
1,Only the xxs was left  so i was a little concerned that it might be too small. not the case at all thanks to the very functional adjustable straps & high quality of craftsmanship & design. for reference  i'm 32c  5'2 110-115lbs - kind off petite w/an athletic build. the black is lovely classic. the color  along with the beautiful design give this a timeless classic french look. very comfortable  too. love so much i  ordering more!,Intimates
1,I love this gown so much  i would wear it everyday if i could. it is cozy  beautiful  and feels special like an heirloom. the top is perfect coverage and the skirt is so soft. color is much prettier than the photo picks up!!! i love this gown. my favorite  hands down.,Intimates
1,Oh how i love this bra!! its so comfortable and very flattering. i find that many bralettes totally flatten me out but this one does not. and the floral lace here is just beautiful. the daisy-type flowers look so cute and feminine! i've got it in so many colors now. for sizing  i'm 34b and the s/m fits great.,Intimates
1,Love love love this pair of underwear (yes  i'm writing this about underwear). they're comfortable  flattering  and no vpl (visible panty line) without having to wear a thong.,Intimates
1,I am not a fan of unlined bras  but this one was so pretty i had to try it. the lace doesn't look cheap  but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.,Intimates
1,This is a very comfortable bralette- the silk covers one's most sensitive parts  so it feels like you are wearing almost nothing. it's very pretty  too. i wear a 34b bra and the small fits me. it doesn't have a lot of support  but it's very comfortable for wearing at home or on errands. the cups are a little far apart  but it still works. if you're looking for something pretty and comfortable for casual wear  i would recommend this at the sale price.,Intimates
1,I own many of the natori feathers back close bras and decided to try the front close version for spring/summer tops and dresses. i purchased the yellow and got the matching hipsters panty. i no longer see the yellow available but you could find elsewhere or maybe retailer will bring this color back (it is lovely!)? for sizing  i tried my normal size (34b) and the cup size larger per other reviews. the 34c did end up fitting better so i also recommend going up a cup size. excited for warmer weather,Intimates
1,I purchased this tank for the interesting open neck not realizing that the straps are elastic. i love it. the material is super soft and it fits nicely. snug but not too tight. the straps are wide enough to cover bra straps and the neckline being a little wider is really flattering. i got the black one but i am going to get more colors! great buy!,Intimates
1,"I ordered size small. i am 5' 6""  32 b. the fabric is super soft and the fit is great. there's an adorable little quote on the pantie's lining  and the bra has a beautiful print on its inner lining. the feel of the lace and fabric is divine. love it! one more thing to note...there is very little lining in the bra; really nothing more than an extra layer of fabric. it is enough to protect modesty  but not much else.",Intimates
-1,I was so excited for this kimono. i thought the colors would be lovely. i was looking for a unique wrap/vest/kimono. i ordered this online expecting to be dazzled. sadly  i was not. this arrived and fell short on all measures. the colors were flat  the fabric felt cheap and the construction did not scream $108. it felt like something i would find in a college import/head shop. back it went. i ended up buying the silves wrap  which i love.,Jackets
-1,Should have listened 2 a previous review! while this is a very well made garment  it really does remind me of a bathrobe  and will be returning :( too bad because the fabric and stripes are really great. also...this runs very large. the extra small was more like a medium.,Jackets
-1,I was really excited for this jacket to arrive but it's going back. because the fabric is coated  it does not drape or hang nicely at all. i expected it to be boxy but it sticks out so oddly in every direction that it looks horrible. i'm usually an xs and ordered an xs and it looks ridiculous on me.,Jackets
-1,I wore this blazer for one day  didn't do anything strenuous  and the fabric started to disintegrate along the back  next to the center seam. it's completely unfixable  since it's not the seam that split but the fabric itself. what a waste of money.    as to the fit  it is a boxy cut through the waist. it looks better unbuttoned than buttoned. the jacket also shows a lot of the shirt you have under it  so it's good over something cute.    or  it would be  if it didn't fall apart.,Jackets
-1,"I know this product description says oversized but that's an understatement. i ordered a small and tried it on and i looked like a little kid in their father's jacket. i don't even think an xs would have worked. i'm 5'6"" and about 135 pounds for reference. i will say that the embroidery on the back is very cool and this jacket is overall a cool concept but it's just way too big.",Jackets
-1,I wanted to love this  but instead of being a flowy kimono top as pictured- it was a thick blazer type garment. not at all what is pictured here unfortunately. also it was much shorter than pictured and i am only 5'4''.     love most retailer styles  but this one was a miss and a return.,Jackets
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,This is the tiniest blazer i've ever purchased in a size 10. i usually wear an 8  but sized up based on other reviews and it was still too small. it's very attractive but please size true to size,Jackets
-1,This is a beautiful vest. i love the color-blocking  the modern and structured style  and its versatility.  i bought it with a defective item discount because there were some stains. i promptly took it to the dry cleaners and was informed that the black would bleed onto the white paneling if they did a full wash. they spot-cleaned it  and it did bleed. although the tag says to dry clean this baby  the black dye will bleed to the white fabric. i'll be taking it back into the store today for a ref,Jackets
0,At first i was interested. i liked the color  the soft tencel fabric  the cut in the back. it was all good. they didn't have my size in the store so i had to order it. when it arrived in the mail it was folded up and wrinkled. i tried it on and it looked like a lifeless unstructured blazer. i sent it back.   all in all  it is cute and fun for warm weather. it is definitely a casual blazer. i'd probably wait for a sale on this one.  it does run tts.,Jackets
0,"Loved the look of this wool and so well made! problem was it literally would have been better on a bed as a blanket than on my body as a blanket coat. just overwhelmed me and didn't look good. i'm 5/9"" and 160 lbs so i'm no shrinking violet just too heavy of fabric.",Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
0,When i tried it on it looked like a stiff bathrobe. straight  too boxy.,Jackets
0,I bought this (because it looks beautiful  is well made  and a high quality piece). when i got it home and tried it on  it did not achieve the look i was going for (boho). instead  it was very drapery and full and big and i felt like i was wearing a ghost costume on halloween. i do love retailer's kimonos and thought i'd love this one. but it's going back. i don't need any more clothes in my closet that i do not absolutely love and want to wear again and again. that is my new criteria for purchasi,Jackets
0,Delaine blazer so many little details with a slight bit of ruggedness. loved the unmatched buttons  checkered back and fraying that gave this piece personality making it appear less stuffy. easyily dress it up or down  that being said it seems to run true to size except the arms and shoulders were very tight. i would consider going up a size if more of an athletic build. ordered a 4 but i think a 6 would have been perfect!,Jackets
0,The fabric is beautiful  even the lining is lovely. i ordered the green color in a large  as i'm curvy and have long arms. but it just doesn't lay correctly at all - the collar has no structure  even though it's a lapel  and the side vents just pop out - the jacket added about 10lbs  and just looked frumpy. it looks much more tailored on the model. too bad  as i have been looking for a velvet blazer in the color for a long time.,Jackets
0,Slouchy relaxed fit. well sewn together and hangs well on the body. bottom hem hits upper thigh. good length and soft  easy fabric. light layering option as well. good spring jacket  can be kept on indoors without getting too hot.,Jackets
0,This is a very pretty jacket. light weight and perfect for spring/fall. i had ordered it online as it was not in my retailer store. i did end up returning it though. it does run large  i am usually a l/xl and based on previous reviews i did size down and get the l. the pockets for me were a little big an pushed out having an unflattering look! i was sad to have to send this one back! i was hoping to love it! someone smaller might love it!!,Jackets
1,"This is a very stylish and unique trench. it does run a bit large as i am usually a medium in jackets  but needed a small for this one. i am 5'2""   120 lbs.  but with a large chest. i think it's very flattering. i have small hips  but the large pockets do not make me look bigger. it arrived very wrinkled  but i just touched it up with an iron. i think the color is more of a taupe-gray and will go with everything. love it!",Jackets
